character_name,url,gender
Aged Genghis (Earth-616),https://marvel.fandom.com/wiki/Aged_Genghis_(Earth-616),Male
Algrim (Earth-616),https://marvel.fandom.com/wiki/Algrim_(Earth-616),Male
Alonzo Lincoln (Earth-616),https://marvel.fandom.com/wiki/Alonzo_Lincoln_(Earth-616),Male
Andre Mornet (Earth-616),https://marvel.fandom.com/wiki/Andre_Mornet_(Earth-616),Male
Anton Miguel Rodriquez (Earth-616),https://marvel.fandom.com/wiki/Anton_Miguel_Rodriquez_(Earth-616),Male
Ape (Morlock) (Earth-616),https://marvel.fandom.com/wiki/Ape_(Morlock)_(Earth-616),Male
Apocalypse Beast (Earth-616),https://marvel.fandom.com/wiki/Apocalypse_Beast_(Earth-616),
Aragorn (Earth-616),https://marvel.fandom.com/wiki/Aragorn_(Earth-616),Male
Arsenal Alpha (Earth-616),https://marvel.fandom.com/wiki/Arsenal_Alpha_(Earth-616),Male
Arsenal Beta (Earth-616),https://marvel.fandom.com/wiki/Arsenal_Beta_(Earth-616),Male
B'nee and C'cil (Earth-616),https://marvel.fandom.com/wiki/B%27nee_and_C%27cil_(Earth-616),Male
Baby Karen (Earth-616),https://marvel.fandom.com/wiki/Baby_Karen_(Earth-616),Female
Bernard Hoyster (Earth-616),https://marvel.fandom.com/wiki/Bernard_Hoyster_(Earth-616),Male
Bernie Lachenay (Earth-616),https://marvel.fandom.com/wiki/Bernie_Lachenay_(Earth-616),Male
Biri (Earth-616),https://marvel.fandom.com/wiki/Biri_(Earth-616),Female
Brad Wolfe (Earth-616),https://marvel.fandom.com/wiki/Brad_Wolfe_(Earth-616),Male
Braggadoom (Earth-616),https://marvel.fandom.com/wiki/Braggadoom_(Earth-616),Male
Brainstorm (Jimmy) (Earth-616),https://marvel.fandom.com/wiki/Brainstorm_(Jimmy)_(Earth-616),Male
Brian Hibbs (Earth-616),https://marvel.fandom.com/wiki/Brian_Hibbs_(Earth-616),Male
Bruce Banner (Earth-1610),https://marvel.fandom.com/wiki/Bruce_Banner_(Earth-1610),Male
Caliban (Earth-616),https://marvel.fandom.com/wiki/Caliban_(Earth-616),Male
Carnage (Symbiote) (Earth-1610),https://marvel.fandom.com/wiki/Carnage_(Symbiote)_(Earth-1610),Agender
Chester Weems (Earth-80360),https://marvel.fandom.com/wiki/Chester_Weems_(Earth-80360),Male
Chtylok (Earth-616),https://marvel.fandom.com/wiki/Chtylok_(Earth-616),Male
Curtis Conners (Earth-1610),https://marvel.fandom.com/wiki/Curtis_Conners_(Earth-1610),Male
Datavore (Earth-616),https://marvel.fandom.com/wiki/Datavore_(Earth-616),
David Haller (Earth-616),https://marvel.fandom.com/wiki/David_Haller_(Earth-616),Male
Death's Head 3.0 (Earth-6216),https://marvel.fandom.com/wiki/Death%27s_Head_3.0_(Earth-6216),Male
